trial,lr,margin_loss_siamese,margin_loss_triplet,data_filter_pair,data_filter_triplet,lora_r
0,2e-05,0.6,0.2,0.4,0.4,16
1,2e-05,0.6,0.2,0.4,0.4,8
2,2e-05,0.2,0.6,0.4,0.4,8
3,2e-05,0.4,0.4,0.4,0.4,16
4,2e-05,0.2,0.6,0.4,0.4,16
5,2e-05,0.4,0.2,0.4,0.4,16
6,2e-05,0.6,0.6,0.4,0.4,8
7,2e-05,0.4,0.2,0.4,0.4,8
8,2e-05,0.4,0.6,0.4,0.4,8
9,2e-05,0.6,0.4,0.4,0.4,16
10,2e-05,0.2,0.2,0.4,0.4,16
11,2e-05,0.4,0.6,0.4,0.4,16
12,2e-05,0.2,0.4,0.4,0.4,8
13,2e-05,0.6,0.4,0.4,0.4,8
14,2e-05,0.6,0.6,0.4,0.4,16
15,2e-05,0.4,0.4,0.4,0.4,8
16,2e-05,0.2,0.2,0.4,0.4,8
17,2e-05,0.2,0.4,0.4,0.4,16
