trial,lr,margin_loss_siamese,margin_loss_triplet,data_filter_pair,data_filter_triplet,lora_r
0,3e-05,0.3,0.3,0.4,0.4,8
1,3e-05,0.3,0.2,0.4,0.4,8
2,2e-05,0.3,0.3,0.4,0.4,8
3,3e-05,0.1,0.2,0.4,0.4,8
4,2e-05,0.3,0.4,0.4,0.4,8
5,2e-05,0.5,0.3,0.4,0.4,8
6,3e-05,0.5,0.3,0.4,0.4,8
7,2e-05,0.5,0.2,0.4,0.4,8
8,3e-05,0.1,0.3,0.4,0.4,8
9,3e-05,0.5,0.2,0.4,0.4,8
10,2e-05,0.1,0.3,0.4,0.4,8
11,3e-05,0.1,0.4,0.4,0.4,8
12,2e-05,0.1,0.4,0.4,0.4,8
13,3e-05,0.3,0.4,0.4,0.4,8
14,3e-05,0.5,0.4,0.4,0.4,8
15,2e-05,0.5,0.4,0.4,0.4,8
16,2e-05,0.1,0.2,0.4,0.4,8
17,2e-05,0.3,0.2,0.4,0.4,8
